OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
37;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Naast het Concertgebouw";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8972.jpg";"KRUL";"POINT(4.8784841 52.3556267)";"POINT(52.3556267 4.8784841)";4.8784841;52.3556267
38;"Amsterdamse krul";0;"";"24 uur";"Herenmarkt / Brouwersgracht";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_9017.JPG";"KRUL";"POINT(4.891667 52.379413)";"POINT(52.379413 4.891667)";4.891667;52.379413
39;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Kadijksplein ";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/kadijksplein.JPG";"KRUL";"POINT(4.911695 52.37022)";"POINT(52.37022 4.911695)";4.911695;52.37022
40;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Kerklaan, nabij ingang Artis";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/artis.JPG";"KRUL";"POINT(4.913126 52.3676861)";"POINT(52.3676861 4.913126)";4.913126;52.3676861
41;"Amsterdamse krul";0;"ma - di - wo - do - vr - za - zo";"24 uur per dag";"Plantage Middenlaan";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/artis_PlantageMiddenlaan.JPG";"KRUL";"POINT(4.918439 52.36427)";"POINT(52.36427 4.918439)";4.918439;52.36427
42;"Amsterdamse krul";0;"";"24 uur";"Oosterpark";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_20190220_125412.jpg";"KRUL";"POINT(4.919494 52.360293)";"POINT(52.360293 4.919494)";4.919494;52.360293
45;"Amsterdamse krul";0;"";"24 uur";"Derde kostverlorenkade / Vosmaerstraat";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/Kostverlorenkade.JPG";"KRUL";"POINT(4.856356 52.3593632)";"POINT(52.3593632 4.856356)";4.856356;52.3593632
46;"Openbaar toilet";0;"";"Open bij mooi weer. Zie http://parkkiosk.nl/. ";"Toilet bij kiosk, beheerd door de gemeente";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/beatrixpark.JPG";"OPENBAAR";"POINT(4.884215 52.343593)";"POINT(52.343593 4.884215)";4.884215;52.343593
47;"Amsterdamse krul";0;"";"";"Meeuwenlaan / Hamerstraat";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/15505002048947976083692405215953.jpg";"KRUL";"POINT(4.9221546 52.3859969)";"POINT(52.3859969 4.9221546)";4.9221546;52.3859969
48;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr - za - zo";"Alleen open als pierenbadje ook open is als het boven de 20 graden is en van mei tot en met september.  Meer informatie: https://www.amsterdam.nl/sport/zwemmen/openbare/";"Openbaar toilet bij het pierenbadje. Gerenoveerd in 2019";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/15504996584588417992438976311472.jpg";"TOEGANG";"POINT(4.9226835 52.3903263)";"POINT(52.3903263 4.9226835)";4.9226835;52.3903263
49;"Verzinkbaar urinoir";0;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 07.00 - 09.00 uur verplaatsing naar ondergronds.";"Urilift";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8823.jpg";"URILIFT";"POINT(4.895908 52.3652109)";"POINT(52.3652109 4.895908)";4.895908;52.3652109
50;"Verzinkbaar urinoir";0;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 07.00 - 09.00 uur verplaatsing naar ondergronds.";"Urilift";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8817.jpg";"URILIFT";"POINT(4.89684 52.3661357)";"POINT(52.3661357 4.89684)";4.89684;52.3661357
51;"Verzinkbaar urinoir";0;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 07.00 - 09.00 uur verplaatsing naar ondergronds.";"Urilift";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8828.jpg";"URILIFT";"POINT(4.8954716 52.3670664)";"POINT(52.3670664 4.8954716)";4.8954716;52.3670664
52;"Verzinkbaar urinoir";0;"";"Donderdag tot en met zondag van 18.00 - 7.00 uur.  Tussen 15.30 - 18.00 uur verplaatsing naar bovengronds. tussen 07.00 - 09.00 uur verplaatsing naar ondergronds.";"Urilift";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8815.jpg";"URILIFT";"POINT(4.90012 52.366569)";"POINT(52.366569 4.90012)";4.90012;52.366569
