OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
85;"Amsterdamse krul";0;"";"24 uur";"Haarlemmerplein";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/haarlememerplein.JPG";"KRUL";"POINT(4.8836773 52.3843331)";"POINT(52.3843331 4.8836773)";4.8836773;52.3843331
86;"Amsterdamse krul";0;"";"24 uur";"Dorpsweg Ransdorp naast bushalte kerk";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/ransdorp.JPG";"KRUL";"POINT(4.9939258 52.3932128)";"POINT(52.3932128 4.9939258)";4.9939258;52.3932128
87;"Amsterdamse krul";0;"";"24 uur";"Dorpsstraat Holysloot - naast bushalte Kerk";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/holysloot.JPG";"KRUL";"POINT(5.0251367 52.4132206)";"POINT(52.4132206 5.0251367)";5.0251367;52.4132206
88;"Amsterdamse krul";0;"";"24";"Wijkergouw / Schellingwoude Kerk";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/WijkergouwKerkSchellingwoude.JPG";"KRUL";"POINT(4.9651492 52.383644)";"POINT(52.383644 4.9651492)";4.9651492;52.383644
89;"Overig urinoir";0;"";"24 uur";"Beemesterstraat / IJdoornlaan";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IJDoornlaan_Beemsterstraat.JPG";"OVERIG";"POINT(4.951276 52.3973067)";"POINT(52.3973067 4.951276)";4.951276;52.3973067
90;"Amsterdamse krul";0;"";"24 uur";"Nieuwe Keizersgracht / Weesperstraat";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/IMG_8813.jpg";"KRUL";"POINT(4.9051621 52.3652648)";"POINT(52.3652648 4.9051621)";4.9051621;52.3652648
91;"Amsterdamse krul";0;"";"24 uur";"Nieuwe Achtergracht / Roetersstraat";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/nieuweprinsengrachtRoetersstraat.jpg";"KRUL";"POINT(4.9108778 52.3632207)";"POINT(52.3632207 4.9108778)";4.9108778;52.3632207
92;"Amsterdamse krul";0;"";"24 uur";"Nieuwmarkt / Geldersekade";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/geldersekadeNieuwmarkt.jpg";"KRUL";"POINT(4.900592 52.3732588)";"POINT(52.3732588 4.900592)";4.900592;52.3732588
97;"Openbaar toilet";0.5;"ma - di - wo - do - vr - za - zo";"24 uur per dag ";"P+R Zeeburg";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/P en R Zeeburg.jpg";"OPENBAAR";"POINT(4.9593458 52.3721075)";"POINT(52.3721075 4.9593458)";4.9593458;52.3721075
100;"Openbaar toilet, rolstoeltoegankelijk";0;"ma - di - wo - do - vr";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadsloket";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/images4.persgroep.net.jpg";"TOEGANG";"POINT(4.9008307 52.3678834)";"POINT(52.3678834 4.9008307)";4.9008307;52.3678834
101;"Openbaar toilet, rolstoeltoegankelijk";0;"";"Alle werkdagen geopend van 08.00 - 18.00 uur en op donderdagen tot 20.00 uur.";"Stadsloket";"https://maps.amsterdam.nl/openbare_toiletten/Downloads/25473-160906-stadsloket-stadsdeel-noord_AN-6396.jpg";"TOEGANG";"POINT(4.9330557 52.4010569)";"POINT(52.4010569 4.9330557)";4.9330557;52.4010569
