X,Y,objectid,Omschrijving,Soort,Adres,esrignss_latitude,esrignss_longitude,esrignss_altitude,GlobalID,CreationDate,EditDate,Openbaar,zelfreinigend,Rolstoel_toegankelijk,Alleen_mannen,Openingstijden,Verschoontafel
4.3186719720514,52.0839180901041,"49",Paviljoen Malieveld,Opengesteld,Koekamplaan 6,,,,{4041F2CD-1616-4A19-81D7-95C3F885FC4F},,,,nee,ja,nee,maandag t/m zondag 09.00-20.00,nee
4.31533248367123,52.0828285231742,"50",Interparking Museumkwartier,Opengesteld,Lange Voorhout 98,,,,{6AECE15D-9E21-4F3C-BFFA-07AF92B7B581},,,,nee,ja,nee,maandag t/m zondag 06.00-18.00,nee
4.32088136270749,52.0789930915294,"51",MacDonalds Turfmarkt,Opengesteld,Turfmarkt,,,,{87F61AC9-99AD-4B84-B3E4-FD18A9818C49},,,,nee,nee,nee,maandag t/m zondag 09.00-21.00,nee
4.31421343514038,52.0774565728182,"52",MacDonalds Grote Marktstraat,Opengesteld,Grote Marktstraat,,,,{76212316-746D-4AFA-ABB8-B0F4657C32C7},,,,nee,nee,nee,maandag t/m zondag 08.00-02.00,nee
4.31139121114485,52.0787922942597,"53",MacDonalds Buitenhof,Opengesteld,Buitenhof,,,,{941834EC-4FF2-4DA5-934E-BF1C4D02985A},,,,nee,nee,nee,maandag t/m zondag 09.00- 00.00,nee
4.3095124479403,52.0763324662708,"54",MacDonalds Vlamingstraat,Opengesteld,Vlamingstraat,,,,{9AF09905-ADD3-4F5A-BE9D-B82C4CB1EA7A},,,,nee,nee,nee,maandag t/m zondag 10.00-21.00,nee
4.24217254574977,52.0430532878784,"55",MacDonalds Escamplaan,Opengesteld,Escamplaan,,,,{B96BB4C2-B490-4DA1-8A9B-6AAAB83DD169},,,,nee,nee,nee,maandag t/m zondag 07.00-03.00,nee
4.31422513630813,52.078314331209,"56",KFC toilet,Opengesteld,Spui 2,,,,{32D4EA26-CDC3-4367-81EF-F0E17A9ACF76},,,,nee,nee,nee,maandag t/m zondag 10.00-01.00,nee
4.35770956505206,52.0919928185845,"57",Fl'orange,Opengesteld,Het Kleine Loo,,,,{9E4E8526-241E-4BED-BB4B-80B9B7B9CC80},,,,nee,nee,nee,Maandag t/m zaterdag 09.00-17.00,nee
4.34013432754021,52.0874543690052,"58",Bibliotheek Haagse Hout,Opengesteld,Theresiastraat,,,,{128E0C41-E0A0-489B-AC02-34075CC82F1A},,,,nee,nee,nee,maandag t/m zaterdag 11.0-17.00,nee
4.25797880867516,52.0444736085306,"59",Bibliotheek Bouwlust,Opengesteld,,,,,{64478060-517D-4DE0-BDB1-08BFA3C79023},,,,nee,nee,nee,maandag t/m zaterdag 11.00-17.00,nee
4.22144497959474,52.0687697048003,"60",2theloo Kijkduin,Openbaar,Winkelcentrum Deltaplein,,,,{978D2A3D-43AC-48D3-B62E-424590E9BFBE},,,,nee,ja,nee,24/7,nee
4.23525039903204,52.053828794316,"61",Servicepunt XL Tramstraat,Opengesteld,Tramstraat 15,,,,{234F5043-D467-49C5-B120-899DC0D82E90},,,,nee,ja,nee,maandag t/m vrijdag 9.00-12.30,nee
4.30415944277627,52.0649935428489,"62",Servicepunt XL,Opengesteld,Stortenbekerstraat 201,,,,{0C7A89D2-0A9B-43EF-AA77-0844477B38FC},,,,nee,ja,nee,maandag t/m vrijdag 9.00 - 12.30,nee
4.29324821820413,52.0646418156782,"63",Servicepunt XL,Opengesteld,Schalk Burgerstraat 219,,,,{1363800A-325D-41AE-87D2-B6799EA91BF9},,,,nee,ja,nee,dinsdag t/m vrijdag 9.00- 12.30,nee
4.23532813982155,52.0534557556254,"64",Bibliotheek Loosduinen,Opengesteld,Bibliotheek Loosduinen,,,,{06619D51-C646-4167-9525-881DB51E7132},,,,nee,ja,nee,maandag t/m zaterdag 10.00- 18.00,nee
4.31410624520043,52.0689519491942,"65",Bibliotheek Schilderswijk,Opengesteld,Koningstraat 439,,,,{B1CAFF7B-5E8D-43B9-9054-533C1CE9481D},,,,nee,ja,nee,maandag t/m zaterdag 9.30-17.00,nee
4.3707017100246,52.041594441173,"66",Bibliotheek Ypenburg,Opengesteld,Schrabber 8,,,,{33A9C07D-7A62-4C1E-914E-164BF5EBB844},,,,nee,ja,nee,maandag t/m zaterdag 11.00- 18.00,nee
4.31333704850324,52.0681417910592,"67",Buurthuis de Mussen,Opengesteld,Hoefkade,,,,{D3A9990B-B654-4BBC-920A-E47310C3F910},,,,nee,ja,nee,,nee
4.29467256935167,52.0493955833975,"68",Servicepunt XL Moerwijk,Opengesteld,Aagje Dekenlaan 51,,,,{60CEF5ED-8D79-449D-B054-8BA0DA74CE47},,,,nee,ja,nee,maandag t/m vrijdag 9.00-12.30,nee
4.36786821292293,52.0404697397505,"69",Servicepunt XL,Opengesteld,Plesmanlaan 217,,,,{2CA741A3-6608-4F59-98F5-7D5A70B019B3},,,,nee,ja,nee,,nee
4.26927132723518,52.0723753722498,"70",Servicepunt XL Lindenkwadrant,Opengesteld,,,,,{E0EC6733-9739-43E8-BFD2-8D99C7ED62BA},,,,nee,ja,nee,maandag t/m vrijdag 9.00-12.30,nee
4.28322725947795,52.0772148091578,"71",Servicepunt XL De Regenvalk,Opengesteld,Regentesseplein 148,,,,{435E3E0E-2AB2-49EF-9388-1C4AAE69F413},,,,nee,nee,nee,maandag t/m vrijdag 9.00-12.30,nee
4.33338518274441,52.0658630887989,"72",Servicepunt XL Cromvlietplein,Opengesteld,Cromvlietplein,,,,{D43EB2B1-1E2E-4C07-9A21-0F174318C5F0},,,,nee,nee,nee,maandag t/m donderda,nee
