OBJECTID;MIVA_toilet;Entree;Gebruik;Status;Ma;Ma_van;Ma_tot;Di;Di_van;Di_tot;Wo;Wo_van;Wo_tot;Do;Do_van;Do_tot;Vr;Vr_van;Vr_tot;Za;Za_van;Za_tot;Zo;Zo_van;Zo_tot;Kosten;Beoordeling;Eigenaar;Opmerking;Beugels;Grote_prullenbak;Wastafel;Baby_verschoontafel;GlobalID;X;Y;LONG;LAT
30;;;;;Ja;12:00;23:00;Ja;12:00;23:00;Ja;12:00;23:00;Ja;12:00;23:00;Ja;12:00;23:00;Ja;12:00;23:00;;;;;;The Livingroom;;;;;;0460600a-bb33-408c-9774-68705234bad4;82128.02351503176;455461.1580627261;4.324057064023884;52.082618838606166
31;;;;;Ja;10:00;18:00;Ja;10:00;20:00;Ja;10:00;20:00;Ja;10:00;20:00;Ja;10:00;18:00;Ja;10:00;16:00;Nee;;;;;Koninklijke bibliotheek;;;;;;59fa0cbc-bc56-4e0d-a809-88c3f1da2e85;82326.91628538574;455381.21595942666;4.326975308881992;52.08192655495787
32;;;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;;;Centraal station Den Haag;;;;;;51edec99-4d74-4403-86fc-b5ab65a6a416;82118.36591918726;455354.1859364144;4.32393904682096;52.08165623083652
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;Full Moon;;;;;;a4b73947-c43e-48ad-94f0-c05d49e98968;81269.75168401703;454653.51516832184;4.311712196665739;52.07524710781063
34;;Drempelvrij;Gemiddeld;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;Goed;Fokker Terminal;;Ja;Ja;Ja;Ja;b354a5b3-03b2-4dbd-993e-8241d8b5beaf;83178.43925574597;453582.08466371754;4.339774817234403;52.0658691425133
35;;;;;Ja;16:15;22:30;Ja;17:00;22:30;Ja;17:00;22:30;Ja;17:00;22:30;Ja;17:00;23:;Ja;17:00;23:00;Ja;17:00;22:30;;;Gouden Wok;;;;;;9bdbaf14-16c0-40e5-8088-f13e7f931286;79633.95809124359;452186.97316399106;4.288399777150554;52.052860705870174
36;;;;;Ja;17:00;22:00;Ja;9:00;22:00;Ja;9:00;22:00;Ja;9:00;22:00;Ja;9:00;22:30;Ja;9:00;22:30;Ja;9:00;22:00;;;Watertuin Naaldwijk;;;;;;3ebf7c6c-5b5b-4a16-8c97-636fcc298cd5;73801.37268017234;447054.4588917049;4.204598185415395;52.00591280622346
37;;;;;Ja;9:00;18:00;Ja;9:00;18:00;Ja;9:00;18:00;Ja;9:00;21:00;Ja;9:00;18:00;Ja;9:00;18:00;Ja;12:00;17:00;;;Hema;;;;;;c8582e5e-3892-4e77-b224-6deed7a65119;81423.11887625413;450381.6456424642;4.314869156770808;52.036876981808945
38;;;;;Ja;10:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;21:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;11:00;17:00;;;Lunchroom bij oma;;;;;;65e560c7-3f03-4a7e-87e3-40312ba0a923;81517.01597728187;450358.2279634381;4.316242447761356;52.03667898489912
39;;;;;Ja;11:00;20:00;Ja;11:00;20:00;Ja;11:00;20:00;Ja;11:00;22:00;Ja;;20:00;Ja;11:00;20:00;Ja;11:00;20:00;;;KFC Rijswijk;;;;;;afc69a8a-0e30-4b3c-a956-fd3556f3026c;81570.36297310282;450281.06373539567;4.3170363816030335;52.0359925884395
